customer_state,total_orders,revenue,revenue_pct,cumulative_pct,abc_class
SP,41375,5921678.119999813,37.38,37.38,A
RJ,12762,2129681.979999995,13.44,50.82,A
MG,11544,1856161.4900000128,11.72,62.53,A
RS,5432,885826.7599999985,5.59,68.12,A
PR,4998,800935.4399999947,5.06,73.18,A
BA,3358,611506.6700000031,3.86,77.04,A
SC,3612,610213.6000000002,3.85,80.89,B
DF,2125,353229.4400000012,2.23,83.12,B
GO,2007,347706.93000000005,2.19,85.32,B
ES,2025,324801.9100000004,2.05,87.37,B
PE,1648,322237.6899999997,2.03,89.40,B
CE,1327,275606.2999999998,1.74,91.14,B
PA,970,217647.10999999987,1.37,92.51,B
MT,903,186168.96000000014,1.18,93.69,B
MA,740,151171.99000000008,0.95,94.64,B
PB,532,140987.81000000006,0.89,95.53,C
MS,709,135956.6700000001,0.86,96.39,C
PI,493,108132.28,0.68,97.07,C
RN,482,101895.08,0.64,97.72,C
AL,411,96229.39999999992,0.61,98.32,C
SE,345,73032.31999999999,0.46,98.78,C
TO,279,61354.420000000035,0.39,99.17,C
RO,247,57558.01999999993,0.36,99.53,C
AM,147,27835.729999999974,0.18,99.71,C
AC,81,19669.699999999997,0.12,99.83,C
AP,68,16262.799999999994,0.10,99.94,C
RR,46,10064.619999999999,0.06,100.00,C
